Method,accuracy,precision,sensitivity,specificity,f1,auc,mcc
Grouping 1 (GP1),0.9937,0.9938,0.9937,0.9968,0.9937,0.9999,0.9905
Grouping 2 (GP2),0.9897,0.99,0.9897,0.9948,0.9897,0.9998,0.9846
Grouping 3 (GP3),0.995,0.9951,0.995,0.9975,0.995,0.9999,0.9925
Grouping 4 (GP4),0.9927,0.9928,0.9927,0.9963,0.9927,0.9999,0.9891
