k,Accuracy,Precision,Recall,F1,Specificity
3,0.996,0.9960036390494516,0.996,0.9960006605041554,0.9980000000000001
5,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999
7,0.9976666666666667,0.9976669976669976,0.9976666666666666,0.9976666660833331,0.9988333333333334
9,0.996,0.9960128675185072,0.996,0.9960013038584333,0.9980000000000001
