Method,Accuracy,Precision,Recall,F1,Specificity,Features
Adaptive GA,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510
NSGA-II,0.997,0.9970003303336638,0.997,0.9969999992499998,0.9984999999999999,310
