Method,Accuracy,Precision,Recall,F1,Specificity
Majority Vote,0.9916666666666667,0.9916815121982864,0.9916666666666667,0.9916709650516512,0.9958333333333335
Weighted Fusion,0.9946666666666667,0.9946703190216164,0.9946666666666667,0.9946679966689972,0.9973333333333333
GP1 (Max),0.9966666666666667,0.9966805591667968,0.9966666666666666,0.9966676396754237,0.9983333333333334
GP2 (Product),0.9953333333333333,0.9953353160079307,0.9953333333333333,0.9953336623336623,0.9976666666666668
GP3 (Ratio),0.0,0.0,0.0,0.0,0.5
GP4 (Weighted Sum),0.9953333333333333,0.9953353160079307,0.9953333333333333,0.9953336623336623,0.9976666666666668
