Backbone,Feature Dim,Accuracy,Precision,Recall,F1,Specificity,Selected,Total Params
densenet121,1024,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510,7169664
resnet50,2048,0.996,0.9960181609318607,0.996,0.9959959303145168,0.9980000000000001,968,24114176
vgg16,512,0.9676666666666667,0.9677819817166929,0.9676666666666667,0.9676320012459471,0.9838333333333334,262,14748000
efficientnetb0,1280,0.999,0.9990029910269193,0.999,0.9989999977499949,0.9994999999999999,650,4255731
