Generations,Accuracy,Precision,Recall,F1,Specificity,Features
10,0.9976666666666667,0.9976683270096444,0.9976666666666668,0.997666998667499,0.9988333333333334,509
25,0.9973333333333333,0.9973363143701827,0.9973333333333333,0.9973336626692427,0.9986666666666667,512
50,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510
100,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510
