Classifier,Accuracy,Precision,Recall,F1,Specificity,Features
KNN,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510
SVM,0.9756666666666667,0.9756949439728896,0.9756666666666667,0.9756716591581082,0.9878333333333332,510
RF,0.9866666666666667,0.9867108725062176,0.9866666666666667,0.986675070442978,0.9933333333333333,510
LR,0.97,0.9700424770847306,0.9700000000000001,0.970012963861708,0.985,510
XGBoost,0.993,0.9930321817007858,0.993,0.9930050606116022,0.9965,510
