Method,Accuracy,Precision,Recall,F1,Specificity,Features,Reduction
NSGA-II,0.997,0.9970003303336638,0.997,0.9969999992499998,0.9984999999999999,310,30.3%
NSGA-II + Grouping,0.997,0.9970003303336638,0.997,0.9969999992499998,0.9984999999999999,310,30.3%
