Method,accuracy,precision,sensitivity,specificity,f1,auc,mcc
Grouping 1 (GP1),0.9923,0.9925,0.9923,0.9962,0.9923,0.9999,0.9886
Grouping 2 (GP2),0.9853,0.986,0.9853,0.9927,0.9854,0.9996,0.9783
Grouping 3 (GP3),0.9933,0.9935,0.9933,0.9967,0.9933,0.9999,0.9901
Grouping 4 (GP4),0.989,0.9894,0.989,0.9945,0.989,0.9998,0.9837
