Method,Accuracy,Precision,Recall,F1,Specificity,Features,Reduction,Time (s)
Baseline GA,0.9973333333333333,0.9973399594192802,0.9973333333333333,0.9973331539923914,0.9986666666666668,506,50.6%,1958.3
Adaptive GA,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510,50.2%,1186.6
NSGA-II,0.997,0.9970003303336638,0.997,0.9969999992499998,0.9984999999999999,310,69.7%,4508.3
