Attention,Accuracy,Precision,Recall,F1,Specificity,Features,Attn Params
SE,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510,132160
ECA,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9983333333333334,494,3
CBAM,0.9366666666666666,0.9363832799872748,0.9366666666666665,0.9362009299948885,0.9683333333333333,538,132259
SPLIT,0.9906666666666667,0.9906763430150152,0.9906666666666667,0.9906655856569376,0.9953333333333334,519,83008
DUAL,0.9973333333333333,0.9973346560052908,0.9973333333333333,0.9973333306666641,0.9986666666666667,504,1185856
VIT,0.9983333333333333,0.9983336650003317,0.9983333333333334,0.9983333329166665,0.9991666666666666,516,4200448
SWIN,0.9983333333333333,0.9983336650003317,0.9983333333333334,0.9983333329166665,0.9991666666666666,516,4200448
