Method,accuracy,precision,sensitivity,specificity,f1,auc,mcc
Grouping 1 (GP1),0.9903,0.9906,0.9903,0.9952,0.9904,0.9998,0.9856
Grouping 2 (GP2),0.9783,0.9797,0.9783,0.9892,0.9784,0.9993,0.9681
Grouping 3 (GP3),0.9923,0.9925,0.9923,0.9962,0.9923,0.9999,0.9886
Grouping 4 (GP4),0.984,0.9847,0.984,0.992,0.984,0.9996,0.9763
