Method,accuracy,precision,sensitivity,specificity,f1,auc,mcc
Grouping 1 (GP1),0.996,0.996,0.996,0.998,0.996,0.9999,0.994
Grouping 2 (GP2),0.993,0.9931,0.993,0.9965,0.993,0.9999,0.9896
Grouping 3 (GP3),0.997,0.997,0.997,0.9985,0.997,1.0,0.9955
Grouping 4 (GP4),0.994,0.9941,0.994,0.997,0.994,0.9999,0.991
