Pop Size,Accuracy,Precision,Recall,F1,Specificity,Features
20,0.9986666666666667,0.9986679946719788,0.9986666666666667,0.998666665333332,0.9993333333333334,517
40,0.997,0.9970019920119721,0.997,0.9970004982511237,0.9984999999999999,510
60,0.9983333333333333,0.9983343323343323,0.9983333333333334,0.9983336664167499,0.9991666666666666,543
80,0.997,0.9970039780458224,0.997,0.9970008285870328,0.9984999999999999,479
